# Distance Time Time_err_low Time_err_high Temperature Temperature_err_low Temperature_err_high J J_err_low J_err_high
1.0000e-02 8.1348e-04 3.7610e-05 3.9836e-05 2.5251e+02 4.2414e-01 4.2434e-01 -0.0000e+00 0.0000e+00 0.0000e+00
2.0000e-02 1.6270e-03 7.5220e-05 7.9672e-05 2.4333e+02 3.8379e-01 3.8584e-01 -0.0000e+00 0.0000e+00 0.0000e+00
3.0000e-02 2.4404e-03 1.1283e-04 1.1951e-04 2.3857e+02 3.5144e-01 3.5427e-01 1.6997e+15 1.6997e+15 1.7944e+15
3.5000e-02 2.8472e-03 1.3164e-04 1.3943e-04 2.3689e+02 3.3901e-01 3.4152e-01 1.7847e+15 1.7847e+15 1.8682e+15
4.0000e-02 3.2539e-03 1.5044e-04 1.5934e-04 2.3549e+02 3.2787e-01 3.3041e-01 4.6502e+14 1.8405e+15 1.8392e+15
4.5000e-02 3.6607e-03 1.6925e-04 1.7926e-04 2.3429e+02 3.1821e-01 3.2090e-01 -1.7847e+15 1.8682e+15 1.7847e+15
5.0000e-02 4.0674e-03 1.8805e-04 1.9918e-04 2.3326e+02 3.0952e-01 3.1235e-01 1.5535e+15 2.0284e+15 1.9923e+15
5.5000e-02 4.4741e-03 2.0686e-04 2.1910e-04 2.3235e+02 3.0177e-01 3.0463e-01 3.9789e+16 1.1607e+16 1.3288e+16
6.0000e-02 4.8809e-03 2.2566e-04 2.3902e-04 2.3154e+02 2.9513e-01 2.9798e-01 7.2992e+16 2.3097e+16 2.6269e+16
